大学物理Ⅱ（一）,刘海迪,星期一,多媒体4106,1-12周,必修,3.0
线性代数Ⅰ,刘敬学,星期一,多媒体5301,7-16周,必修,2.5
通用日语（二）,姜兴川,星期一,多媒体3301,1-17周,必修,无
通用英语（二）,秦凯利,星期一,多媒体4303,1-17周,必修,无
中国近现代史纲要,张宇,星期一,多媒体4108,5-16周,必修,3.0
C++程序设计,郭天翼,星期二,多媒体4208,3-12周,选修课,无
微积分Ⅰ（二）,何涛,星期二,多媒体5104,1-14周,必修,无
离散数学,陈维,星期二,多媒体4404-2,5-16周,选修课,无
JavaScript与jQuery开发技术,贺东芹,星期二,多媒体4301,1-6周,选修课,无
中国近现代史纲要,张宇,星期三,多媒体4402,5-16周,必修,3.0
离散数学,陈维,星期三,多媒体4404-2,5-16周,选修课,无
线性代数Ⅰ,刘敬学,星期三,多媒体5301,7-16周,必修,2.5
大学物理Ⅱ（一）,刘海迪,星期三,多媒体4106,1-12周,必修,3.0
微积分Ⅰ（二）,何涛,星期四,多媒体5104,1-13周,必修,无
通用日语（二）,姜兴川,星期四,语音楼405,1-17周,必修,无
通用英语（二）,秦凯利,星期四,语音楼217,1-17周,必修,无
物理实验（一）,皮厚礼,星期四,未排地点,9-16周,必修,无
C++程序设计,郭天翼,星期四,A604计科实训实验室（硬件）,9-12周,选修课,无
C++程序设计,郭天翼,星期五,多媒体4208,3-12周,选修课,无
微积分Ⅰ（二）,何涛,星期五,多媒体5104,1-13周,必修,无
排球,曹阳,星期五,体育场,1-16周,必修,2.0
JavaScript与jQuery开发技术,贺东芹,星期五,多媒体4301,1-6周,选修课,无
通用日语（二）,姜兴川,星期六,语音楼215,1周,必修,无
JavaScript与jQuery开发技术,贺东芹,星期六,A604计科实训实验室（硬件）,5-6周,选修课,无
形势与政策（二）,童钰瑶,星期六,多媒体2207,12周,必修,无
通用英语（二）,秦凯利,星期日,多媒体4303,1周,必修,无
